name;date;tempc;humidpc
xm-09;2024-02-22T00:00:00.000-03:00;21,25;92
xm-09;2024-02-22T01:00:00.000-03:00;20,95;92
xm-09;2024-02-22T02:00:00.000-03:00;20,55;92
xm-09;2024-02-22T03:00:00.000-03:00;20,15;93
xm-09;2024-02-22T04:00:00.000-03:00;19,95;93
xm-09;2024-02-22T05:00:00.000-03:00;19,65;93
xm-09;2024-02-22T06:00:00.000-03:00;19,25;94
xm-09;2024-02-22T07:00:00.000-03:00;19,3;95
xm-09;2024-02-22T08:00:00.000-03:00;20,45;91
xm-09;2024-02-22T09:00:00.000-03:00;22,35;85
xm-09;2024-02-22T10:00:00.000-03:00;24,4;78
xm-09;2024-02-22T11:00:00.000-03:00;26,65;70
xm-09;2024-02-22T12:00:00.000-03:00;27,4;67
xm-09;2024-02-22T13:00:00.000-03:00;29,05;64
xm-09;2024-02-22T14:00:00.000-03:00;30,05;61
xm-09;2024-02-22T15:00:00.000-03:00;28,9;61
xm-09;2024-02-22T16:00:00.000-03:00;28,35;67
xm-09;2024-02-22T17:00:00.000-03:00;28,45;65
xm-09;2024-02-22T18:00:00.000-03:00;27,35;66
xm-09;2024-02-22T19:00:00.000-03:00;25,15;72
xm-09;2024-02-22T20:00:00.000-03:00;23,2;79
xm-09;2024-02-22T21:00:00.000-03:00;22,35;83
xm-09;2024-02-22T22:00:00.000-03:00;21,85;85
xm-09;2024-02-22T23:00:00.000-03:00;21,55;86
xm-09;2024-02-23T00:00:00.000-03:00;21,6;86
xm-09;2024-02-23T01:00:00.000-03:00;21,65;88
xm-09;2024-02-23T02:00:00.000-03:00;21,5;89
xm-09;2024-02-23T03:00:00.000-03:00;21,5;89
xm-09;2024-02-23T04:00:00.000-03:00;21,4;88
xm-09;2024-02-23T05:00:00.000-03:00;21,1;89
xm-09;2024-02-23T06:00:00.000-03:00;20,55;90
xm-09;2024-02-23T07:00:00.000-03:00;20,15;90
xm-09;2024-02-23T08:00:00.000-03:00;21,1;88
xm-09;2024-02-23T09:00:00.000-03:00;22,6;86
xm-09;2024-02-23T10:00:00.000-03:00;23,75;83
xm-09;2024-02-23T11:00:00.000-03:00;24;84
xm-09;2024-02-23T12:00:00.000-03:00;24,8;80
xm-09;2024-02-23T13:00:00.000-03:00;27,5;72
xm-09;2024-02-23T14:00:00.000-03:00;29,2;67
xm-09;2024-02-23T15:00:00.000-03:00;29,55;64
xm-09;2024-02-23T16:00:00.000-03:00;29,05;64
xm-09;2024-02-23T17:00:00.000-03:00;27,5;69
xm-09;2024-02-23T18:00:00.000-03:00;25,1;75
xm-09;2024-02-23T19:00:00.000-03:00;23,75;81
xm-09;2024-02-23T20:00:00.000-03:00;23,15;82
xm-09;2024-02-23T21:00:00.000-03:00;22,6;85
xm-09;2024-02-23T22:00:00.000-03:00;22,3;87
xm-09;2024-02-23T23:00:00.000-03:00;21,8;88
xm-09;2024-02-24T00:00:00.000-03:00;21,25;89
xm-09;2024-02-24T01:00:00.000-03:00;21,15;89
xm-09;2024-02-24T02:00:00.000-03:00;21,05;88
xm-09;2024-02-24T03:00:00.000-03:00;20,8;89
xm-09;2024-02-24T04:00:00.000-03:00;20,7;89
xm-09;2024-02-24T05:00:00.000-03:00;20,6;91
xm-09;2024-02-24T06:00:00.000-03:00;20,45;92
xm-09;2024-02-24T07:00:00.000-03:00;20,4;94
xm-09;2024-02-24T08:00:00.000-03:00;21,1;91
xm-09;2024-02-24T09:00:00.000-03:00;23;84
xm-09;2024-02-24T10:00:00.000-03:00;26;75
xm-09;2024-02-24T11:00:00.000-03:00;27,55;70
xm-09;2024-02-24T12:00:00.000-03:00;28,8;67
xm-09;2024-02-24T13:00:00.000-03:00;30,5;60
xm-09;2024-02-24T14:00:00.000-03:00;31,65;57
xm-09;2024-02-24T15:00:00.000-03:00;31,4;55
xm-09;2024-02-24T16:00:00.000-03:00;32,75;53
xm-09;2024-02-24T17:00:00.000-03:00;32,6;53
xm-09;2024-02-24T18:00:00.000-03:00;28,8;63
xm-09;2024-02-24T19:00:00.000-03:00;26,5;69
xm-09;2024-02-24T20:00:00.000-03:00;24,9;73
xm-09;2024-02-24T21:00:00.000-03:00;23,7;75
xm-09;2024-02-24T22:00:00.000-03:00;22,7;77
xm-09;2024-02-24T23:00:00.000-03:00;21,8;78
xm-09;2024-02-25T00:00:00.000-03:00;21,4;77
xm-09;2024-02-25T01:00:00.000-03:00;21,35;77
xm-09;2024-02-25T02:00:00.000-03:00;20,7;79
xm-09;2024-02-25T03:00:00.000-03:00;19,95;84
xm-09;2024-02-25T04:00:00.000-03:00;19,4;86
xm-09;2024-02-25T05:00:00.000-03:00;19;89
xm-09;2024-02-25T06:00:00.000-03:00;18,65;90
xm-09;2024-02-25T07:00:00.000-03:00;18,5;90
xm-09;2024-02-25T08:00:00.000-03:00;20,3;90
xm-09;2024-02-25T09:00:00.000-03:00;22,75;84
xm-09;2024-02-25T10:00:00.000-03:00;25,55;77
xm-09;2024-02-25T11:00:00.000-03:00;28,2;68
xm-09;2024-02-25T12:00:00.000-03:00;29,45;63
xm-09;2024-02-25T13:00:00.000-03:00;30,3;61
xm-09;2024-02-25T14:00:00.000-03:00;31,4;57
xm-09;2024-02-25T15:00:00.000-03:00;31,8;55
xm-09;2024-02-25T16:00:00.000-03:00;32,6;54
xm-09;2024-02-25T17:00:00.000-03:00;33,55;52
xm-09;2024-02-25T18:00:00.000-03:00;32,8;52
xm-09;2024-02-25T19:00:00.000-03:00;29,25;59
xm-09;2024-02-25T20:00:00.000-03:00;26,6;66
xm-09;2024-02-25T21:00:00.000-03:00;25;72
xm-09;2024-02-25T22:00:00.000-03:00;24,05;76
xm-09;2024-02-25T23:00:00.000-03:00;23,3;79
xm-09;2024-02-26T00:00:00.000-03:00;22,5;80
xm-09;2024-02-26T01:00:00.000-03:00;21,65;82
xm-09;2024-02-26T02:00:00.000-03:00;21,1;84
xm-09;2024-02-26T03:00:00.000-03:00;20,55;85
xm-09;2024-02-26T04:00:00.000-03:00;20,1;87
xm-09;2024-02-26T05:00:00.000-03:00;19,5;89
xm-09;2024-02-26T06:00:00.000-03:00;18,95;89
xm-09;2024-02-26T07:00:00.000-03:00;18,5;90
xm-09;2024-02-26T08:00:00.000-03:00;19,75;87
