Institution;year;sp
NA;2020;Caryocar brasiliense
Universidade Estadual de Campinas;2012;Caryocar brasiliense
Universidade Estadual Paulista;1986;Caryocar brasiliense
NA;2005;Caryocar brasiliense
NA;1972;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2016;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1972;Caryocar brasiliense
Museu Botânico Municipal;1991;Caryocar brasiliense
NA;2016;Caryocar brasiliense
NA;2002;Caryocar brasiliense
NA;1972;Caryocar brasiliense
Universidade Estadual do Tocantins;2009;Caryocar brasiliense
Universidade Federal de Goiás;1974;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1979;Caryocar brasiliense
NA;1961;Caryocar brasiliense
Museu Botânico Municipal;2019;Caryocar brasiliense
Universidade Estadual de Londrina;1992;Caryocar brasiliense
NA;2022;Caryocar brasiliense
NA;2016;Caryocar brasiliense
NA;2007;Caryocar brasiliense
NA;1994;Caryocar brasiliense
NA;2019;Caryocar brasiliense
Universidade Estadual de Campinas;2011;Caryocar brasiliense
NA;1982;Caryocar brasiliense
Universidade Estadual de Campinas;1997;Caryocar brasiliense
NA;2011;Caryocar brasiliense
NA;1979;Caryocar brasiliense
Museu Paraense Emílio Goeldi;1981;Caryocar brasiliense
NA;2007;Caryocar brasiliense
Universidade de Brasília;1993;Caryocar brasiliense
NA;1981;Caryocar brasiliense
Museu Botânico Municipal;1980;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1905;Caryocar brasiliense
Universidade Federal de Minas Gerais;1984;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1946;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1981;Caryocar brasiliense
Universidade Federal de Goiás;1993;Caryocar brasiliense
NA;1993;Caryocar brasiliense
NA;2017;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1994;Caryocar brasiliense
Universidade de Brasília;1993;Caryocar brasiliense
NA;2019;Caryocar brasiliense
NA;2019;Caryocar brasiliense
NA;1993;Caryocar brasiliense
NA;1993;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2003;Caryocar brasiliense
Universidade Estadual Paulista;2000;Caryocar brasiliense
NA;1997;Caryocar brasiliense
NA;1992;Caryocar brasiliense
Universidade Federal de Jataí;2007;Caryocar brasiliense
Universidade Federal de Minas Gerais;1981;Caryocar brasiliense
NA;2020;Caryocar brasiliense
NA;2000;Caryocar brasiliense
Universidade Federal de Jataí;2007;Caryocar brasiliense
NA;2022;Caryocar brasiliense
Universidade Federal de Jataí;2007;Caryocar brasiliense
NA;1984;Caryocar brasiliense
NA;1982;Caryocar brasiliense
Universidade Federal de Jataí;2007;Caryocar brasiliense
NA;1979;Caryocar brasiliense
Universidade Estadual de Maringá;1992;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1984;Caryocar brasiliense
NA;2007;Caryocar brasiliense
NA;1981;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1979;Caryocar brasiliense
NA;2000;Caryocar brasiliense
NA;2005;Caryocar brasiliense
Universidade Federal do Paraná;1979;Caryocar brasiliense
NA;1992;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;2006;Caryocar brasiliense
NA;2016;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1961;Caryocar brasiliense
NA;1993;Caryocar brasiliense
NA;2007;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;2002;Caryocar brasiliense
Universidade Federal de Rondônia;2015;Caryocar brasiliense
Universidade Federal de Uberlândia;1991;Caryocar brasiliense
NA;2015;Caryocar brasiliense
Instituto Agronômico do Norte;2014;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1988;Caryocar brasiliense
NA;1992;Caryocar brasiliense
Universidade Federal da Bahia;1997;Caryocar brasiliense
Universidade Federal de Minas Gerais;1985;Caryocar brasiliense
Universidade Estadual de Campinas;1997;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1964;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1922;Caryocar brasiliense
Universidade Estadual de Campinas;1992;Caryocar brasiliense
Universidade Estadual de Campinas;1997;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1946;Caryocar brasiliense
NA;1980;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;1996;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1971;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1993;Caryocar brasiliense
Universidade Estadual Paulista;1986;Caryocar brasiliense
NA;2003;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1964;Caryocar brasiliense
NA;2016;Caryocar brasiliense
NA;1980;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;2015;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1964;Caryocar brasiliense
Universidade Estadual Paulista;2000;Caryocar brasiliense
NA;1971;Caryocar brasiliense
NA;1992;Caryocar brasiliense
NA;1989;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1964;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1964;Caryocar brasiliense
Universidade Estadual de Feira de Santana;1997;Caryocar brasiliense
NA;2001;Caryocar brasiliense
Universidade Federal de Jataí;1999;Caryocar brasiliense
Universidade Estadual de Campinas;1966;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1997;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1966;Caryocar brasiliense
NA;2008;Caryocar brasiliense
NA;2014;Caryocar brasiliense
NA;2013;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1964;Caryocar brasiliense
Comissão Executiva do Plano da Lavoura Cacaueira;1992;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1964;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1978;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;2003;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1964;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1994;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2015;Caryocar brasiliense
Universidade Federal da Bahia;2017;Caryocar brasiliense
Museu Paraense Emílio Goeldi;1980;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1980;Caryocar brasiliense
Universidade Estadual Paulista;1986;Caryocar brasiliense
Museu Botânico Municipal;2019;Caryocar brasiliense
Universidade Estadual de Feira de Santana;1992;Caryocar brasiliense
Prefeitura de Belo Horizonte;1995;Caryocar brasiliense
NA;2017;Caryocar brasiliense
NA;2003;Caryocar brasiliense
Museu Botânico Municipal;1992;Caryocar brasiliense
Universidade Federal do Paraná;1988;Caryocar brasiliense
NA;2005;Caryocar brasiliense
Universidade Estadual de Campinas;2008;Caryocar brasiliense
Universidade Estadual de Feira de Santana;2008;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1964;Caryocar brasiliense
NA;2022;Caryocar brasiliense
NA;2022;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1997;Caryocar brasiliense
NA;1997;Caryocar brasiliense
NA;1980;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1964;Caryocar brasiliense
Embrapa Pantanal;1989;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1964;Caryocar brasiliense
Instituto Nacional de Pesquisas da Amazônia;1980;Caryocar brasiliense
NA;1978;Caryocar brasiliense
NA;1976;Caryocar brasiliense
NA;1993;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1964;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1964;Caryocar brasiliense
NA;1999;Caryocar brasiliense
NA;2001;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1976;Caryocar brasiliense
Universidade Estadual de Feira de Santana;1989;Caryocar brasiliense
NA;1980;Caryocar brasiliense
Universidade de Brasília;1971;Caryocar brasiliense
NA;1997;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;1975;Caryocar brasiliense
Museu Botânico Municipal;NA;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;1894;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1987;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1979;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;NA;Caryocar brasiliense
NA;1845;Caryocar brasiliense
NA;1916;Caryocar brasiliense
Universidade Federal de Minas Gerais;1978;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Universidade Federal de Minas Gerais;1952;Caryocar brasiliense
Universidade de Brasília;NA;Caryocar brasiliense
Instituto Nacional de Pesquisas da Amazônia;NA;Caryocar brasiliense
Universidade Estadual de Feira de Santana;NA;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1978;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1956;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Universidade Estadual de Feira de Santana;2005;Caryocar brasiliense
Museu Botânico Municipal;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Universidade Federal de Minas Gerais;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;1937;Caryocar brasiliense
Museu Botânico Municipal;NA;Caryocar brasiliense
Universidade Federal de Minas Gerais;1996;Caryocar brasiliense
Universidade de Brasília;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Museu Nacional do Rio de Janeiro;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1980;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Universidade Federal de Goiás;NA;Caryocar brasiliense
Universidade Estadual do Maranhão;2009;Caryocar brasiliense
Universidade Federal de Minas Gerais;NA;Caryocar brasiliense
Universidade Federal de Minas Gerais;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;NA;Caryocar brasiliense
Universidade de Brasília;NA;Caryocar brasiliense
Museu Botânico Municipal;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Universidade Federal da Bahia;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1979;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Universidade Federal de Minas Gerais;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;1936;Caryocar brasiliense
Universidade de Brasília;NA;Caryocar brasiliense
Universidade de Brasília;NA;Caryocar brasiliense
Universidade de Brasília;NA;Caryocar brasiliense
Universidade Estadual Paulista;NA;Caryocar brasiliense
Instituto de Pesquisas Ambientais;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1936;Caryocar brasiliense
Universidade de Brasília;NA;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Universidade de Brasília;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Universidade de Brasília;NA;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1997;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1979;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;NA;Caryocar brasiliense
NA;1997;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Universidade de Brasília;NA;Caryocar brasiliense
Universidade Federal de Minas Gerais;NA;Caryocar brasiliense
NA;NA;Caryocar brasiliense
Universidade Federal de Goiás;NA;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1979;Caryocar brasiliense
Universidade Federal de Minas Gerais;NA;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1990;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
Universidade Estadual de Campinas;1975;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
NA;2001;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
NA;2022;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
NA;2006;Caryocar brasiliense
NA;2012;Caryocar brasiliense
Universidade Estadual Paulista;1999;Caryocar brasiliense
Universidade Federal de São Carlos;2022;Caryocar brasiliense
Universidade Federal do Paraná;1987;Caryocar brasiliense
NA;1994;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
NA;1999;Caryocar brasiliense
NA;1992;Caryocar brasiliense
NA;1999;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;2018;Caryocar brasiliense
Comissão Executiva do Plano da Lavoura Cacaueira;2001;Caryocar brasiliense
NA;1989;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
Universidade de São Paulo;2006;Caryocar brasiliense
NA;2020;Caryocar brasiliense
NA;1983;Caryocar brasiliense
Prefeitura de São Paulo;2006;Caryocar brasiliense
NA;1990;Caryocar brasiliense
NA;1971;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
Universidade Estadual de Londrina;1995;Caryocar brasiliense
Universidade Federal de Goiás;1984;Caryocar brasiliense
Universidade de Brasília;1978;Caryocar brasiliense
Instituto Nacional de Pesquisas da Amazônia;1982;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1984;Caryocar brasiliense
Universidade Estadual de Feira de Santana;2001;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
NA;1977;Caryocar brasiliense
Universidade de Brasília;2008;Caryocar brasiliense
Museu Botânico Municipal;2019;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1984;Caryocar brasiliense
NA;2019;Caryocar brasiliense
NA;2022;Caryocar brasiliense
NA;1980;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1938;Caryocar brasiliense
Comissão Executiva do Plano da Lavoura Cacaueira;2003;Caryocar brasiliense
Museu Paraense Emílio Goeldi;1977;Caryocar brasiliense
NA;1984;Caryocar brasiliense
NA;2019;Caryocar brasiliense
NA;1999;Caryocar brasiliense
Universidade da Região de Joinville;2006;Caryocar brasiliense
NA;2022;Caryocar brasiliense
Universidade Estadual de Campinas;1984;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
NA;2020;Caryocar brasiliense
Universidade Federal da Bahia;2001;Caryocar brasiliense
Universidade Estadual de Campinas;1995;Caryocar brasiliense
NA;2019;Caryocar brasiliense
Universidade Federal do Paraná;1994;Caryocar brasiliense
NA;1983;Caryocar brasiliense
NA;1977;Caryocar brasiliense
NA;2008;Caryocar brasiliense
Universidade Federal de Minas Gerais;2015;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1978;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
NA;2022;Caryocar brasiliense
NA;2014;Caryocar brasiliense
Universidade Estadual Paulista;2012;Caryocar brasiliense
Universidade de Brasília;1977;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
NA;2001;Caryocar brasiliense
NA;2022;Caryocar brasiliense
Universidade Estadual Paulista;1999;Caryocar brasiliense
NA;1999;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
NA;1978;Caryocar brasiliense
Universidade Estadual Paulista;1986;Caryocar brasiliense
NA;2009;Caryocar brasiliense
NA;2019;Caryocar brasiliense
NA;1982;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
NA;2000;Caryocar brasiliense
NA;1995;Caryocar brasiliense
Universidade Estadual de Feira de Santana;2001;Caryocar brasiliense
NA;2022;Caryocar brasiliense
Universidade de São Paulo;1980;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
Universidade Federal da Bahia;2001;Caryocar brasiliense
NA;1999;Caryocar brasiliense
NA;2001;Caryocar brasiliense
NA;2009;Caryocar brasiliense
NA;1995;Caryocar brasiliense
Museu Botânico Municipal;1992;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
NA;2009;Caryocar brasiliense
Comissão Executiva do Plano da Lavoura Cacaueira;1980;Caryocar brasiliense
Universidade Federal da Bahia;2003;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
Universidade Federal de São Carlos;2022;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2009;Caryocar brasiliense
Universidade Estadual Paulista;1999;Caryocar brasiliense
NA;2001;Caryocar brasiliense
NA;2001;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
NA;1984;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1984;Caryocar brasiliense
NA;2014;Caryocar brasiliense
NA;1999;Caryocar brasiliense
Universidade Federal de Goiás;2011;Caryocar brasiliense
Universidade Estadual Paulista;1995;Caryocar brasiliense
Universidade Estadual Paulista;1986;Caryocar brasiliense
Universidade Federal de Goiás;1971;Caryocar brasiliense
NA;2022;Caryocar brasiliense
Comissão Executiva do Plano da Lavoura Cacaueira;1984;Caryocar brasiliense
NA;2002;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;2004;Caryocar brasiliense
Universidade Federal da Bahia;1951;Caryocar brasiliense
Universidade Estadual do Maranhão;2019;Caryocar brasiliense
Universidade Federal de Goiás;1994;Caryocar brasiliense
Universidade Federal de Goiás;1988;Caryocar brasiliense
NA;1998;Caryocar brasiliense
Universidade de Brasília;2004;Caryocar brasiliense
NA;2004;Caryocar brasiliense
NA;1963;Caryocar brasiliense
Universidade Federal Rural de Pernambuco;1976;Caryocar brasiliense
Universidade Estadual de Feira de Santana;1998;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;1984;Caryocar brasiliense
NA;2008;Caryocar brasiliense
Universidade Federal do Oeste do Pará;2018;Caryocar brasiliense
NA;2023;Caryocar brasiliense
Universidade Estadual do Maranhão;2013;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;1992;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1962;Caryocar brasiliense
Universidade Federal da Bahia;1951;Caryocar brasiliense
Universidade Federal de Minas Gerais;1985;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1989;Caryocar brasiliense
Universidade Estadual de Feira de Santana;2007;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1985;Caryocar brasiliense
Universidade de São Paulo;2003;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1979;Caryocar brasiliense
Universidade Estadual de Feira de Santana;2013;Caryocar brasiliense
Universidade Federal de Goiás;1988;Caryocar brasiliense
NA;2014;Caryocar brasiliense
NA;1992;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1995;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1994;Caryocar brasiliense
Universidade Federal de Uberlândia;2002;Caryocar brasiliense
NA;2006;Caryocar brasiliense
NA;2020;Caryocar brasiliense
NA;2007;Caryocar brasiliense
NA;1995;Caryocar brasiliense
NA;2004;Caryocar brasiliense
Universidade Federal Rural de Pernambuco;1976;Caryocar brasiliense
NA;2020;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;2017;Caryocar brasiliense
Instituto Nacional de Pesquisas da Amazônia;1981;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;2022;Caryocar brasiliense
NA;2006;Caryocar brasiliense
NA;1988;Caryocar brasiliense
Universidade Federal de Uberlândia;2008;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2015;Caryocar brasiliense
NA;1998;Caryocar brasiliense
NA;1963;Caryocar brasiliense
Universidade Federal de Jataí;2013;Caryocar brasiliense
NA;1968;Caryocar brasiliense
NA;2020;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;2022;Caryocar brasiliense
Universidade Estadual do Tocantins;2005;Caryocar brasiliense
NA;1984;Caryocar brasiliense
NA;2001;Caryocar brasiliense
NA;2008;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1985;Caryocar brasiliense
Universidade de São Paulo;2004;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2013;Caryocar brasiliense
Instituto Agronômico de Campinas;1939;Caryocar brasiliense
NA;2002;Caryocar brasiliense
NA;2022;Caryocar brasiliense
NA;1989;Caryocar brasiliense
NA;2004;Caryocar brasiliense
Universidade Federal da Bahia;2007;Caryocar brasiliense
Universidade Estadual do Tocantins;2005;Caryocar brasiliense
Universidade Estadual Paulista;2002;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2006;Caryocar brasiliense
NA;2013;Caryocar brasiliense
Universidade Estadual do Maranhão;2013;Caryocar brasiliense
NA;1989;Caryocar brasiliense
NA;2020;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1997;Caryocar brasiliense
NA;2017;Caryocar brasiliense
Universidade Federal da Bahia;2012;Caryocar brasiliense
NA;2020;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;1993;Caryocar brasiliense
NA;2002;Caryocar brasiliense
NA;1963;Caryocar brasiliense
NA;1955;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2002;Caryocar brasiliense
Universidade Federal de Goiás;1992;Caryocar brasiliense
Universidade Estadual do Tocantins;2006;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1998;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1980;Caryocar brasiliense
NA;1994;Caryocar brasiliense
Instituto Agronômico do Norte;1953;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1963;Caryocar brasiliense
Universidade Estadual Paulista;2002;Caryocar brasiliense
